,PC1,PC2,PC3
ONX,-0.2163617523600514,-0.8434866140466445,0.04464800936538521
CRM,-0.4072119043107321,2.243577888006141,-0.7923135743045036
BCH,-0.14213977909485448,-1.279377405477592,0.17204736132781348
XMCC,-0.39524292356900503,1.364480795828745,-0.513089769674348
DFT,-0.29542821867083474,0.6016729352567237,-0.2448266195763539
VET,4.379728581902245,-0.185632748332269,5.939650869696916
SOJ,-0.09074688012069705,-1.0473885816742614,0.006540871847499425
STCN,-0.37020749140243825,1.0068343102695707,-0.16487744386475964
NYC,1.5805228385721866,-1.0242613069157689,-0.0427822528826264
FRAZ,-0.16485098958309166,-1.0392647238204045,0.007538994113343879
KRONE,-0.1643031601403271,-1.0393135169966192,0.007530151638948079
ACC,-0.1640043967177112,-1.039324325938595,0.007523276156477959
LINX,-0.16399133809373598,-1.039324213810371,0.0075228996767436876
XCXT,-0.33434785189205674,1.1678481141995227,-0.5503478205530926
ETHD,-0.3348470618734104,1.1678806504618424,-0.5503382131018784
SUMO,0.3058496838016941,-2.3515488412749184,0.39717226162657265
ODN,-0.3559915336483774,1.1293570624849598,-0.1511184560099752
ADA,0.6309586099569118,0.6870082984935807,-0.009038059489133842
REC,-0.39518382364759747,1.3644666812485353,-0.5130895735308911
BTCZ,0.06630645657183712,-1.9851044472062742,0.3261418373622986
TZC,-0.33092637590494434,0.7954590463732204,-0.34589938242374735
ELM,-0.17990671010381282,-0.8437587166930026,0.04367304288585727
TER,-0.33480272921318494,1.1678713904973508,-0.5503382385052165
VIVO,-0.165929422753621,-1.4114042579243227,0.21207971929644057
RUP,-0.318613050107899,0.3001667081449188,-0.029692746640158692
BTG,-0.14566705737431207,-1.9693883719495513,0.3299743697144126
WOMEN,0.4336437848956626,1.1535855126466747,-0.5697788340836623
MAY,-0.3104933495736002,0.9277028295689789,-0.3858669023565
NAMO,-0.3370262878508378,1.774493720983621,-0.6017944354774876
LUX,-0.3984720029519713,1.844807209616657,-0.5645679588268658
PIRL,-0.15018135052977058,-2.2268090360979937,0.40123464024687977
XIOS,-0.3347531160960252,1.1678674141335739,-0.550339096804933
BTDX,-0.39238614398283234,1.6775902168848595,-0.5110610086884828
EBST,-0.16318236025499458,-1.0393172675005242,0.007499576870121932
KEK,-0.3549834042808865,0.7849606257571246,-0.07053390645571819
BLHC,-0.3346236143885713,1.1678737184377723,-0.5503435050286206
XIN,-0.09958077043449823,0.3555392442061271,-0.0843342189292977
PURA,-0.2210292757581229,-0.8428997723879729,0.04470111183155955
INN,-0.16577498335276555,-1.4114179778936322,0.2120772219033983
ELLA,-0.14621032629647815,-1.9973800048076986,0.3891283011307615
GBX,-0.16587508996046457,-1.411407803678969,0.21207867424104757
MAG,-0.39397763239423866,1.364379238804177,-0.5131116399018563
TAU,3.7490031660081904,2.8254210963067594,-0.07602964606403458
ECA,0.20674402882763124,1.7550891115807674,-0.6143431729189333
BCD,-0.2705579324681813,1.9560771359399995,-0.6199844345330149
XSH,-0.10927959565842195,-1.8328975270066243,0.36245843628047814
CNBC,-0.33208624932749675,1.1677323295491673,-0.5503954540459672
XUN,1.1424255851286338,-2.415342131983164,0.38227651937968227
COAL,0.30525443873376096,-2.3514900994540535,0.39718112545902573
DAXX,-0.07117317186393217,-2.004860572646506,0.38802073095320594
BWK,-0.31286022543839515,1.2091459795312227,-0.2959718680457713
KLKS,-0.35467999554257584,1.1115292949610536,-0.20552102349959797
AC3,-0.2207713355224636,-0.8430647361034151,0.04471539864695774
LTHN,-0.13085350026327364,-2.158017686841397,0.3716196346194939
GER,0.07911197051390005,1.1296439999694712,-0.5568422895247426
LTCU,-0.3337630392935877,1.1677680853051333,-0.5503536292093394
POP,-0.08131271559971551,-1.0427101654976798,0.005671496493370703
PNX,-0.39455816698370105,1.3644528279357022,-0.513105113022759
PHO,1.0867311511308537,-1.4488797320290079,0.12081771411634917
SUCR,-0.22545484457860462,-0.8426617609062897,0.04479283580299541
SPK,-0.16592697498805353,-1.4113992215507327,0.21207899703069574
WAGE,-0.3538455568278745,1.111452870628306,-0.20553421873020855
GUN,-0.15897108010860636,-1.4117398871435154,0.21193048591460958
IRL,-0.1641026507923797,-1.0392950774651233,0.007522198638052409
TROLL,-0.32134009245819234,1.1672478357972091,-0.5506303202986345
LCP,-0.33486917478309863,1.1678806277672786,-0.5503375973105852
MONK,-0.3561123919965569,0.7982720370477594,-0.20757005021028413
PCOIN,-0.2253803161277893,-0.8426637958221722,0.04479103472160612
UBTC,-0.1421191918033549,-1.2793765315698087,0.17204667721097572
ITZ,-0.2038486714698002,-1.2820506698574106,0.1763121846746524
TPAY,-0.3592320399792612,0.76201567700091,-0.06303882273533712
MCT,-0.27898593788952286,-0.35623069316239403,0.1367961117342824
MBC,-0.26851860964028534,0.6044020154942394,-0.2871413196723226
TRTL,8.035511445447684,-3.1209962231481816,0.2829328150222338
MUN,-0.14294911137902067,-2.068150403737183,0.36931599791298647
USX,-0.3304184206418338,1.1677282607669002,-0.5504411479418233
NBR,0.30912532002667886,-2.3517272732943995,0.39710466538420813
SSS,0.027772935286718564,-1.0459529617942531,0.0030696410926885818
TRF,-0.1496848846150122,-2.2267577067971986,0.40121421133057067
KREDS,-0.17275923795399312,-1.3415370302175544,0.22234903280806717
TOKC,-0.22666008834818413,1.3894257418509626,-0.3145393213286241
BBP,-0.20851447870946646,3.3319420781386255,13.193255760615559
LCC,-0.3971503372748907,-0.5159729481350418,12.589103615929377
FLIP,-0.16467588340077238,-1.0392799381191042,0.007536118129863084
